time,latitude,longitude,mean_CHL,count_entries_CHL
1997-09-01,-40,15,0.43727538,144
1997-09-01,-40,16,0.29326388,287
1997-09-01,-40,17,0.18150897,249
1997-09-01,-40,18,0.17657757,59
1997-09-01,-40,19,0.2209663,114
1997-09-01,-40,20,0.25535467,279
1997-09-01,-40,21,0.29407522,287
1997-09-01,-40,22,0.25295067,285
1997-09-01,-40,23,0.2546555,229
1997-09-01,-40,24,0.26345465,149
1997-09-01,-40,25,0.29280454,29
1997-09-01,-40,26,0.3967929,59
1997-09-01,-40,27,,0
1997-09-01,-40,28,0.25337115,13
1997-09-01,-40,29,0.24309883,47
1997-09-01,-40,30,0.29276666,126
1997-09-01,-40,31,0.34706303,174
1997-09-01,-40,32,0.37437376,252
1997-09-01,-40,33,0.25532988,242
1997-09-01,-40,34,0.41428748,283
1997-09-01,-40,35,0.41353065,144
1997-09-01,-39,15,0.32133803,288
1997-09-01,-39,16,0.294723,576
1997-09-01,-39,17,0.24227172,493
1997-09-01,-39,18,0.26291347,412
1997-09-01,-39,19,0.27768773,426
1997-09-01,-39,20,0.39424768,564
1997-09-01,-39,21,0.4196209,557
1997-09-01,-39,22,0.23471208,570
1997-09-01,-39,23,0.21957798,517
1997-09-01,-39,24,0.1780028,283
1997-09-01,-39,25,0.32195714,18
1997-09-01,-39,26,0.42252988,222
1997-09-01,-39,27,0.46011162,92
1997-09-01,-39,28,0.2542979,28
1997-09-01,-39,29,0.23059794,264
1997-09-01,-39,30,0.2065815,374
1997-09-01,-39,31,0.21022189,529
1997-09-01,-39,32,0.25507677,573
1997-09-01,-39,33,0.37752673,576
1997-09-01,-39,34,0.39993596,575
1997-09-01,-39,35,0.30163082,283
1997-09-01,-38,15,0.26992097,288
1997-09-01,-38,16,0.23554632,571
1997-09-01,-38,17,0.22409058,508
1997-09-01,-38,18,0.2258614,566
1997-09-01,-38,19,0.23383898,576
1997-09-01,-38,20,0.35204184,576
1997-09-01,-38,21,0.58992654,549
1997-09-01,-38,22,0.29593882,536
1997-09-01,-38,23,0.21003953,555
1997-09-01,-38,24,0.21598952,367
1997-09-01,-38,25,0.39631575,177
1997-09-01,-38,26,0.54342914,305
1997-09-01,-38,27,0.47117767,260
1997-09-01,-38,28,0.27636898,330
1997-09-01,-38,29,0.33517948,410
1997-09-01,-38,30,0.243498,575
1997-09-01,-38,31,0.21181236,544
1997-09-01,-38,32,0.36919224,576
1997-09-01,-38,33,0.44296396,576
1997-09-01,-38,34,0.25432104,576
1997-09-01,-38,35,0.18549268,285
1997-09-01,-37,15,0.21453363,288
1997-09-01,-37,16,0.24081875,560
1997-09-01,-37,17,0.28082275,510
1997-09-01,-37,18,0.35570657,576
1997-09-01,-37,19,0.24022487,576
1997-09-01,-37,20,0.29379603,560
1997-09-01,-37,21,0.417459,494
1997-09-01,-37,22,0.3338772,512
1997-09-01,-37,23,0.22111426,330
1997-09-01,-37,24,0.21142207,227
1997-09-01,-37,25,0.28424504,453
1997-09-01,-37,26,0.32336447,425
1997-09-01,-37,27,0.28424424,477
1997-09-01,-37,28,0.25541607,502
1997-09-01,-37,29,0.31839776,570
1997-09-01,-37,30,0.26847172,572
1997-09-01,-37,31,0.24843098,560
1997-09-01,-37,32,0.31640399,573
1997-09-01,-37,33,0.25220117,576
1997-09-01,-37,34,0.22424991,574
1997-09-01,-37,35,0.19804767,288
1997-09-01,-36,15,0.3091486,288
1997-09-01,-36,16,0.2949711,574
1997-09-01,-36,17,0.27872482,513
1997-09-01,-36,18,0.3910338,548
1997-09-01,-36,19,0.41027486,576
1997-09-01,-36,20,0.7197759,576
1997-09-01,-36,21,1.0010169,527
1997-09-01,-36,22,0.61960155,443
1997-09-01,-36,23,0.26530012,287
1997-09-01,-36,24,0.19895318,271
1997-09-01,-36,25,0.19036885,508
1997-09-01,-36,26,0.24162787,416
1997-09-01,-36,27,0.26530215,550
1997-09-01,-36,28,0.2523981,551
1997-09-01,-36,29,0.2992661,567
1997-09-01,-36,30,0.28036258,571
1997-09-01,-36,31,0.2269882,521
1997-09-01,-36,32,0.21209505,558
1997-09-01,-36,33,0.19307159,551
1997-09-01,-36,34,0.17983037,576
1997-09-01,-36,35,0.17990994,288
1997-09-01,-35,15,0.38462928,288
1997-09-01,-35,16,0.27968183,571
1997-09-01,-35,17,0.34273782,422
1997-09-01,-35,18,0.4543072,546
1997-09-01,-35,19,1.022759,553
1997-09-01,-35,20,1.1444918,455
1997-09-01,-35,21,0.9513438,576
1997-09-01,-35,22,1.5601474,576
1997-09-01,-35,23,1.0123202,568
1997-09-01,-35,24,0.5058104,554
1997-09-01,-35,25,0.29523063,570
1997-09-01,-35,26,0.21563688,496
1997-09-01,-35,27,0.20209816,511
1997-09-01,-35,28,0.24939549,546
1997-09-01,-35,29,0.25870594,575
1997-09-01,-35,30,0.24185754,471
1997-09-01,-35,31,0.2443206,566
1997-09-01,-35,32,0.19868194,569
1997-09-01,-35,33,0.18441653,563
1997-09-01,-35,34,0.17505535,523
1997-09-01,-35,35,0.16668548,287
1997-09-01,-34,15,0.31570342,288
1997-09-01,-34,16,0.22729126,508
1997-09-01,-34,17,0.37205845,424
1997-09-01,-34,18,1.496336,524
1997-09-01,-34,19,2.3202505,114
1997-09-01,-34,20,,0
1997-09-01,-34,21,1.2916526,46
1997-09-01,-34,22,2.2218277,162
1997-09-01,-34,23,2.6958709,259
1997-09-01,-34,24,2.925523,262
1997-09-01,-34,25,1.7853659,252
1997-09-01,-34,26,1.3787608,415
1997-09-01,-34,27,0.8438068,479
1997-09-01,-34,28,0.21080515,508
1997-09-01,-34,29,0.16943176,515
1997-09-01,-34,30,0.18233141,545
1997-09-01,-34,31,0.19817492,488
1997-09-01,-34,32,0.15918465,428
1997-09-01,-34,33,0.15898994,475
1997-09-01,-34,34,0.17100884,537
1997-09-01,-34,35,0.15669148,281
1997-09-01,-33,15,0.20730795,280
1997-09-01,-33,16,0.25980192,555
1997-09-01,-33,17,0.5830729,576
1997-09-01,-33,18,3.5941775,346
1997-09-01,-33,19,,0
1997-09-01,-33,20,,0
1997-09-01,-33,21,,0
1997-09-01,-33,22,,0
1997-09-01,-33,23,,0
1997-09-01,-33,24,,0
1997-09-01,-33,25,,0
1997-09-01,-33,26,,0
1997-09-01,-33,27,2.093176,23
1997-09-01,-33,28,0.76184005,321
1997-09-01,-33,29,0.25523806,555
1997-09-01,-33,30,0.18541142,573
1997-09-01,-33,31,0.16253178,571
1997-09-01,-33,32,0.16296245,542
1997-09-01,-33,33,0.16212924,571
1997-09-01,-33,34,0.17179212,572
1997-09-01,-33,35,0.14984158,288
1997-09-01,-32,15,0.2406529,274
1997-09-01,-32,16,0.44069776,576
1997-09-01,-32,17,1.599812,576
1997-09-01,-32,18,6.966862,437
1997-09-01,-32,19,,0
1997-09-01,-32,20,,0
1997-09-01,-32,21,,0
1997-09-01,-32,22,,0
1997-09-01,-32,23,,0
1997-09-01,-32,24,,0
1997-09-01,-32,25,,0
1997-09-01,-32,26,,0
1997-09-01,-32,27,,0
1997-09-01,-32,28,,0
1997-09-01,-32,29,0.71426857,213
1997-09-01,-32,30,0.24977408,452
1997-09-01,-32,31,0.16718401,531
1997-09-01,-32,32,0.18608287,576
1997-09-01,-32,33,0.16321686,576
1997-09-01,-32,34,0.15981473,574
1997-09-01,-32,35,0.14143968,288
1997-09-01,-31,15,0.50023293,288
1997-09-01,-31,16,1.1763651,576
1997-09-01,-31,17,3.6348052,569
1997-09-01,-31,18,8.929294,112
1997-09-01,-31,19,,0
1997-09-01,-31,20,,0
1997-09-01,-31,21,,0
1997-09-01,-31,22,,0
1997-09-01,-31,23,,0
1997-09-01,-31,24,,0
1997-09-01,-31,25,,0
1997-09-01,-31,26,,0
1997-09-01,-31,27,,0
1997-09-01,-31,28,,0
1997-09-01,-31,29,,0
1997-09-01,-31,30,0.3546935,157
1997-09-01,-31,31,0.22789681,509
1997-09-01,-31,32,0.16983081,562
1997-09-01,-31,33,0.1566208,576
1997-09-01,-31,34,0.15125154,569
1997-09-01,-31,35,0.16008896,288
1997-09-01,-30,15,0.85421944,288
1997-09-01,-30,16,1.5811667,576
1997-09-01,-30,17,5.118472,382
1997-09-01,-30,18,,0
1997-09-01,-30,19,,0
1997-09-01,-30,20,,0
1997-09-01,-30,21,,0
1997-09-01,-30,22,,0
1997-09-01,-30,23,,0
1997-09-01,-30,24,,0
1997-09-01,-30,25,,0
1997-09-01,-30,26,,0
