time,latitude,longitude,mean_CHL,count_entries_CHL
1997-09-01,20,120,0.10210775,33
1997-09-01,20,121,0.06763765,109
1997-09-01,20,122,0.07660979,255
1997-09-01,20,123,0.063223444,270
1997-09-01,20,124,0.051670514,269
1997-09-01,20,125,0.043758716,175
1997-09-01,20,126,0.040732607,229
1997-09-01,20,127,0.042921033,276
1997-09-01,20,128,0.04204945,218
1997-09-01,20,129,0.040065937,185
1997-09-01,20,130,0.0393529,110
1997-09-01,21,120,0.078776084,177
1997-09-01,21,121,0.071421705,277
1997-09-01,21,122,0.09776325,362
1997-09-01,21,123,0.06503809,241
1997-09-01,21,124,0.051878896,406
1997-09-01,21,125,0.04458869,404
1997-09-01,21,126,0.044215154,347
1997-09-01,21,127,0.045142714,545
1997-09-01,21,128,0.0455495,556
1997-09-01,21,129,0.041025825,540
1997-09-01,21,130,0.04137735,245
1997-09-01,22,120,0.17604393,243
1997-09-01,22,121,0.19879292,432
1997-09-01,22,122,0.10216861,181
1997-09-01,22,123,0.059873924,225
1997-09-01,22,124,0.049627364,324
1997-09-01,22,125,0.050448645,277
1997-09-01,22,126,0.050639383,558
1997-09-01,22,127,0.04920477,479
1997-09-01,22,128,0.04646365,495
1997-09-01,22,129,0.04723115,560
1997-09-01,22,130,0.046014693,270
1997-09-01,23,120,0.38273084,96
1997-09-01,23,121,0.11254901,116
1997-09-01,23,122,0.09072895,300
1997-09-01,23,123,0.07738485,345
1997-09-01,23,124,0.0521339,423
1997-09-01,23,125,0.05146958,231
1997-09-01,23,126,0.054333057,200
1997-09-01,23,127,0.045842446,378
1997-09-01,23,128,0.042183835,268
1997-09-01,23,129,0.04671059,492
1997-09-01,23,130,0.04767597,285
1997-09-01,24,120,0.6162199,191
1997-09-01,24,121,0.6889278,12
1997-09-01,24,122,0.09427596,486
1997-09-01,24,123,0.08088301,528
1997-09-01,24,124,0.08567936,543
1997-09-01,24,125,0.059220616,412
1997-09-01,24,126,0.061630122,225
1997-09-01,24,127,0.06620062,357
1997-09-01,24,128,0.05727243,161
1997-09-01,24,129,0.04650559,147
1997-09-01,24,130,0.045724858,99
1997-09-01,25,120,0.548099,288
1997-09-01,25,121,0.6023344,278
1997-09-01,25,122,0.28009194,273
1997-09-01,25,123,0.1969435,166
1997-09-01,25,124,0.09478963,418
1997-09-01,25,125,0.09961898,560
1997-09-01,25,126,0.064097345,365
1997-09-01,25,127,0.06333388,457
1997-09-01,25,128,0.06354815,363
1997-09-01,25,129,0.046099942,211
1997-09-01,25,130,0.05609017,208
1997-09-01,26,120,1.0147406,288
1997-09-01,26,121,0.324895,493
1997-09-01,26,122,0.29338413,189
1997-09-01,26,123,0.24135302,286
1997-09-01,26,124,0.114924386,149
1997-09-01,26,125,0.10543471,524
1997-09-01,26,126,0.07704953,465
1997-09-01,26,127,0.08201422,554
1997-09-01,26,128,0.07681221,525
1997-09-01,26,129,0.04978931,294
1997-09-01,26,130,0.05188498,152
1997-09-01,27,120,2.264459,103
1997-09-01,27,121,1.2812729,556
1997-09-01,27,122,0.40209228,418
1997-09-01,27,123,0.29871675,279
1997-09-01,27,124,0.24198484,67
1997-09-01,27,125,0.16814929,456
1997-09-01,27,126,0.115621515,380
1997-09-01,27,127,0.084182896,561
1997-09-01,27,128,0.08968046,536
1997-09-01,27,129,0.056885015,540
1997-09-01,27,130,0.04722167,204
1997-09-01,28,120,,0
1997-09-01,28,121,2.3018277,165
1997-09-01,28,122,1.4315993,499
1997-09-01,28,123,0.3854523,120
1997-09-01,28,124,0.26223895,126
1997-09-01,28,125,0.19912802,385
1997-09-01,28,126,0.16491956,353
1997-09-01,28,127,0.09596782,392
1997-09-01,28,128,0.103859015,535
1997-09-01,28,129,0.10091591,518
1997-09-01,28,130,0.087810986,251
1997-09-01,29,120,,0
1997-09-01,29,121,,0
1997-09-01,29,122,2.3132637,249
1997-09-01,29,123,0.39907447,93
1997-09-01,29,124,0.3189581,445
1997-09-01,29,125,0.28122053,332
1997-09-01,29,126,0.18791915,408
1997-09-01,29,127,0.1519121,449
1997-09-01,29,128,0.10150142,242
1997-09-01,29,129,0.100631945,534
1997-09-01,29,130,0.103580974,277
1997-09-01,30,120,,0
1997-09-01,30,121,,0
1997-09-01,30,122,2.8878696,120
1997-09-01,30,123,1.5839705,88
1997-09-01,30,124,0.6122618,292
1997-09-01,30,125,0.5604131,273
1997-09-01,30,126,0.4814899,387
1997-09-01,30,127,0.20624182,415
1997-09-01,30,128,0.1516177,229
1997-09-01,30,129,0.12949973,438
1997-09-01,30,130,0.13600563,174
1997-09-01,31,120,1.9674747,8
1997-09-01,31,121,3.277631,7
1997-09-01,31,122,2.3545763,49
1997-09-01,31,123,1.5975959,354
1997-09-01,31,124,1.003678,504
1997-09-01,31,125,0.95384514,291
1997-09-01,31,126,1.0142074,356
1997-09-01,31,127,0.3537005,428
1997-09-01,31,128,0.14382538,304
1997-09-01,31,129,0.15572736,542
1997-09-01,31,130,0.18014,102
1997-09-01,32,120,,0
1997-09-01,32,121,,0
1997-09-01,32,122,1.789372,39
1997-09-01,32,123,1.3084905,262
1997-09-01,32,124,1.0936346,307
1997-09-01,32,125,1.0527434,447
1997-09-01,32,126,0.8963584,449
1997-09-01,32,127,0.4292969,284
1997-09-01,32,128,0.18935412,168
1997-09-01,32,129,0.25606513,576
1997-09-01,32,130,0.5470214,282
1997-09-01,33,120,,0
1997-09-01,33,121,,0
1997-09-01,33,122,1.5626951,151
1997-09-01,33,123,1.5266945,314
1997-09-01,33,124,1.5210718,392
1997-09-01,33,125,1.7875671,444
1997-09-01,33,126,0.7600871,522
1997-09-01,33,127,0.3521917,319
1997-09-01,33,128,0.22363393,104
1997-09-01,33,129,0.8184522,437
1997-09-01,33,130,1.3882383,152
1997-09-01,34,120,1.6036537,32
1997-09-01,34,121,1.4590077,286
1997-09-01,34,122,1.4503244,558
1997-09-01,34,123,1.1068025,411
1997-09-01,34,124,0.83246344,282
1997-09-01,34,125,1.2176523,576
1997-09-01,34,126,0.92485964,560
1997-09-01,34,127,0.93160915,500
1997-09-01,34,128,0.6887703,310
1997-09-01,34,129,0.52818614,269
1997-09-01,34,130,0.8833874,186
