time,latitude,longitude,mean_CHL,count_entries_CHL
1997-09-01,18,-98,,0
1997-09-01,18,-97,,0
1997-09-01,18,-96,,0
1997-09-01,18,-95,1.8798621,35
1997-09-01,18,-94,2.413612,135
1997-09-01,18,-93,2.324015,27
1997-09-01,18,-92,7.093746,6
1997-09-01,18,-91,,0
1997-09-01,18,-90,,0
1997-09-01,18,-89,,0
1997-09-01,18,-88,2.07307,174
1997-09-01,18,-87,0.092053,238
1997-09-01,18,-86,0.0832541,241
1997-09-01,18,-85,0.08364111,145
1997-09-01,18,-84,0.06946716,192
1997-09-01,18,-83,0.076211944,227
1997-09-01,18,-82,0.090676606,276
1997-09-01,18,-81,0.111741334,283
1997-09-01,18,-80,0.1279531,144
1997-09-01,19,-98,,0
1997-09-01,19,-97,,0
1997-09-01,19,-96,1.1357092,261
1997-09-01,19,-95,0.50335306,508
1997-09-01,19,-94,0.3662153,478
1997-09-01,19,-93,1.0050677,543
1997-09-01,19,-92,1.2127011,509
1997-09-01,19,-91,2.2347503,241
1997-09-01,19,-90,,0
1997-09-01,19,-89,,0
1997-09-01,19,-88,2.2821388,108
1997-09-01,19,-87,0.114487134,405
1997-09-01,19,-86,0.088053115,451
1997-09-01,19,-85,0.085319124,503
1997-09-01,19,-84,0.080110185,383
1997-09-01,19,-83,0.08584231,536
1997-09-01,19,-82,0.08723043,513
1997-09-01,19,-81,0.1030743,489
1997-09-01,19,-80,0.12088906,286
1997-09-01,20,-98,,0
1997-09-01,20,-97,0.7378804,89
1997-09-01,20,-96,0.12846555,513
1997-09-01,20,-95,0.23180373,466
1997-09-01,20,-94,0.25475103,401
1997-09-01,20,-93,0.2045015,489
1997-09-01,20,-92,0.18886144,568
1997-09-01,20,-91,1.2520541,536
1997-09-01,20,-90,6.2467203,5
1997-09-01,20,-89,,0
1997-09-01,20,-88,1.0326811,24
1997-09-01,20,-87,0.13946529,394
1997-09-01,20,-86,0.08481625,394
1997-09-01,20,-85,0.07142648,384
1997-09-01,20,-84,0.06955107,432
1997-09-01,20,-83,0.07758579,548
1997-09-01,20,-82,0.06998988,481
1997-09-01,20,-81,0.06279706,493
1997-09-01,20,-80,0.06575655,247
1997-09-01,21,-98,7.7852573,2
1997-09-01,21,-97,0.39607415,460
1997-09-01,21,-96,0.067545,531
1997-09-01,21,-95,0.073320515,542
1997-09-01,21,-94,0.075916596,541
1997-09-01,21,-93,0.09485594,473
1997-09-01,21,-92,0.11763942,494
1997-09-01,21,-91,0.5813198,576
1997-09-01,21,-90,1.5798594,214
1997-09-01,21,-89,2.5417652,64
1997-09-01,21,-88,,0
1997-09-01,21,-87,0.54083914,239
1997-09-01,21,-86,0.094195835,401
1997-09-01,21,-85,0.0769108,374
1997-09-01,21,-84,0.089475356,474
1997-09-01,21,-83,0.09368735,535
1997-09-01,21,-82,0.08406308,482
1997-09-01,21,-81,0.0645023,571
1997-09-01,21,-80,0.06473462,287
1997-09-01,22,-98,1.294234,142
1997-09-01,22,-97,0.17259303,567
1997-09-01,22,-96,0.06359804,570
1997-09-01,22,-95,0.062490605,519
1997-09-01,22,-94,0.07401838,531
1997-09-01,22,-93,0.082327805,485
1997-09-01,22,-92,0.0892152,508
1997-09-01,22,-91,0.13480166,533
1997-09-01,22,-90,0.21090929,576
1997-09-01,22,-89,0.46596485,573
1997-09-01,22,-88,0.62425786,542
1997-09-01,22,-87,0.430389,565
