time,latitude,longitude,mean_CHL,count_entries_CHL
1997-09-01,-5,45,0.1836326,116
1997-09-01,-5,46,0.16504374,288
1997-09-01,-5,47,0.14648463,250
1997-09-01,-5,48,0.17249236,95
1997-09-01,-5,49,0.13926423,77
1997-09-01,-5,50,0.11777488,21
1997-09-01,-5,51,0.12501955,77
1997-09-01,-5,52,,0
1997-09-01,-5,53,0.16223885,93
1997-09-01,-5,54,0.14859158,20
1997-09-01,-5,55,0.15094769,58
1997-09-01,-5,56,0.12225815,3
1997-09-01,-5,57,0.11914382,138
1997-09-01,-5,58,0.0929665,55
1997-09-01,-5,59,0.083218604,8
1997-09-01,-5,60,0.08307844,38
1997-09-01,-4,45,0.19603242,143
1997-09-01,-4,46,0.17203513,463
1997-09-01,-4,47,0.1375233,427
1997-09-01,-4,48,0.18182532,213
1997-09-01,-4,49,0.18399604,242
1997-09-01,-4,50,0.14397566,154
1997-09-01,-4,51,0.12747543,244
1997-09-01,-4,52,0.14217344,236
1997-09-01,-4,53,0.16500272,121
1997-09-01,-4,54,0.15010454,37
1997-09-01,-4,55,0.15948954,115
1997-09-01,-4,56,0.13882218,27
1997-09-01,-4,57,0.111991115,7
1997-09-01,-4,58,0.10806018,216
1997-09-01,-4,59,0.097025774,171
1997-09-01,-4,60,0.08701885,245
1997-09-01,-3,45,0.19489215,72
1997-09-01,-3,46,0.18176812,194
1997-09-01,-3,47,0.15404916,365
1997-09-01,-3,48,0.19207123,288
1997-09-01,-3,49,0.20311506,508
1997-09-01,-3,50,0.17823586,458
1997-09-01,-3,51,0.16649266,550
1997-09-01,-3,52,0.15239003,402
1997-09-01,-3,53,0.13316998,124
1997-09-01,-3,54,0.12307065,97
1997-09-01,-3,55,0.12250474,32
1997-09-01,-3,56,0.12936479,14
1997-09-01,-3,57,0.13125877,84
1997-09-01,-3,58,0.11907051,267
1997-09-01,-3,59,0.11625466,68
1997-09-01,-3,60,0.103785045,110
1997-09-01,-2,45,0.18269035,87
1997-09-01,-2,46,0.20374736,182
1997-09-01,-2,47,0.30209163,517
1997-09-01,-2,48,0.24338232,423
1997-09-01,-2,49,0.19445825,521
1997-09-01,-2,50,0.18922772,374
1997-09-01,-2,51,0.1774134,320
1997-09-01,-2,52,0.15040079,256
1997-09-01,-2,53,0.12648138,417
1997-09-01,-2,54,0.1223982,315
1997-09-01,-2,55,0.11911074,180
1997-09-01,-2,56,0.11649386,36
1997-09-01,-2,57,0.14467882,231
1997-09-01,-2,58,0.14738515,365
1997-09-01,-2,59,0.13579942,356
1997-09-01,-2,60,0.1277201,132
1997-09-01,-1,45,0.21055819,147
1997-09-01,-1,46,0.25352994,296
1997-09-01,-1,47,0.26614037,371
1997-09-01,-1,48,0.21373588,452
1997-09-01,-1,49,0.17733842,536
1997-09-01,-1,50,0.16476594,441
1997-09-01,-1,51,0.16380347,493
1997-09-01,-1,52,0.15181993,190
1997-09-01,-1,53,0.1299646,318
1997-09-01,-1,54,0.1335203,252
1997-09-01,-1,55,0.12982322,129
1997-09-01,-1,56,0.12767743,245
1997-09-01,-1,57,0.14205545,481
1997-09-01,-1,58,0.14913072,575
1997-09-01,-1,59,0.14542991,575
1997-09-01,-1,60,0.14060718,288
1997-09-01,0,45,0.20550564,21
1997-09-01,0,46,0.23527695,84
1997-09-01,0,47,0.22178005,150
1997-09-01,0,48,0.19671659,397
1997-09-01,0,49,0.15971819,193
1997-09-01,0,50,0.14044587,327
1997-09-01,0,51,0.14131387,572
1997-09-01,0,52,0.1386603,272
1997-09-01,0,53,0.13117345,218
1997-09-01,0,54,0.12620361,375
1997-09-01,0,55,0.1295518,468
1997-09-01,0,56,0.1289591,503
1997-09-01,0,57,0.12492261,389
1997-09-01,0,58,0.14623566,524
1997-09-01,0,59,0.14271192,567
1997-09-01,0,60,0.13105418,284
1997-09-01,1,45,0.21418834,104
1997-09-01,1,46,0.26524884,74
1997-09-01,1,47,0.3432005,311
1997-09-01,1,48,0.22289142,148
1997-09-01,1,49,0.17153552,164
1997-09-01,1,50,0.1747278,325
1997-09-01,1,51,0.15551573,470
1997-09-01,1,52,0.13832422,482
1997-09-01,1,53,0.13855454,414
1997-09-01,1,54,0.13725872,522
1997-09-01,1,55,0.15294456,532
1997-09-01,1,56,0.16005738,569
1997-09-01,1,57,0.14407557,554
1997-09-01,1,58,0.12900916,562
1997-09-01,1,59,0.12995897,526
1997-09-01,1,60,0.15028407,277
1997-09-01,2,45,0.13813762,85
1997-09-01,2,46,0.16080564,199
1997-09-01,2,47,0.30572972,382
1997-09-01,2,48,0.31432006,316
1997-09-01,2,49,0.2684503,454
1997-09-01,2,50,0.25088623,328
1997-09-01,2,51,0.21056165,446
1997-09-01,2,52,0.1776804,334
1997-09-01,2,53,0.18810149,406
1997-09-01,2,54,0.17359304,573
1997-09-01,2,55,0.14919446,553
1997-09-01,2,56,0.13863361,565
1997-09-01,2,57,0.15066905,576
1997-09-01,2,58,0.12573655,568
1997-09-01,2,59,0.11939669,241
1997-09-01,2,60,0.11760738,188
1997-09-01,3,45,,0
1997-09-01,3,46,0.19894017,44
1997-09-01,3,47,0.20422669,418
1997-09-01,3,48,0.27283362,515
1997-09-01,3,49,0.3165478,524
1997-09-01,3,50,0.2876643,288
1997-09-01,3,51,0.25806203,397
1997-09-01,3,52,0.29227433,494
1997-09-01,3,53,0.22088052,438
1997-09-01,3,54,0.17399678,572
1997-09-01,3,55,0.12733765,439
1997-09-01,3,56,0.13843146,553
1997-09-01,3,57,0.15462233,576
1997-09-01,3,58,0.13575548,576
1997-09-01,3,59,0.10937622,286
1997-09-01,3,60,0.09400026,135
1997-09-01,4,45,,0
1997-09-01,4,46,,0
1997-09-01,4,47,0.23957655,55
1997-09-01,4,48,0.21656536,494
1997-09-01,4,49,0.28985202,469
1997-09-01,4,50,0.30189338,299
1997-09-01,4,51,0.32332313,420
1997-09-01,4,52,0.36501825,573
1997-09-01,4,53,0.2754964,447
1997-09-01,4,54,0.19792344,465
1997-09-01,4,55,0.14781299,358
1997-09-01,4,56,0.13488969,474
1997-09-01,4,57,0.12486828,446
1997-09-01,4,58,0.122289166,468
1997-09-01,4,59,0.103288755,197
1997-09-01,4,60,0.090659104,42
1997-09-01,5,45,,0
1997-09-01,5,46,,0
1997-09-01,5,47,,0
1997-09-01,5,48,0.2814697,132
1997-09-01,5,49,0.2389448,568
1997-09-01,5,50,0.2745382,463
1997-09-01,5,51,0.30665714,387
1997-09-01,5,52,0.33994505,519
1997-09-01,5,53,0.2436134,500
1997-09-01,5,54,0.19418685,548
1997-09-01,5,55,0.17944376,570
1997-09-01,5,56,0.18055707,576
1997-09-01,5,57,0.16854107,544
1997-09-01,5,58,0.15577658,482
1997-09-01,5,59,0.1484639,392
1997-09-01,5,60,0.12119331,108
1997-09-01,6,45,,0
1997-09-01,6,46,,0
1997-09-01,6,47,,0
1997-09-01,6,48,,0
1997-09-01,6,49,0.5218304,331
1997-09-01,6,50,0.31462386,511
1997-09-01,6,51,0.32044867,438
1997-09-01,6,52,0.46616855,495
1997-09-01,6,53,0.2631911,515
1997-09-01,6,54,0.19891101,533
1997-09-01,6,55,0.20777111,489
1997-09-01,6,56,0.21905081,568
1997-09-01,6,57,0.18803234,572
1997-09-01,6,58,0.18818851,480
1997-09-01,6,59,0.19171777,484
1997-09-01,6,60,0.17122987,277
1997-09-01,7,45,,0
1997-09-01,7,46,,0
1997-09-01,7,47,,0
1997-09-01,7,48,,0
1997-09-01,7,49,3.0399115,89
1997-09-01,7,50,1.3084869,558
1997-09-01,7,51,0.33948183,405
1997-09-01,7,52,0.31528327,297
1997-09-01,7,53,0.25955665,496
1997-09-01,7,54,0.21431483,564
1997-09-01,7,55,0.24020085,552
1997-09-01,7,56,0.266134,530
1997-09-01,7,57,0.2735895,527
1997-09-01,7,58,0.27391604,522
1997-09-01,7,59,0.21253587,574
1997-09-01,7,60,0.15291509,232
1997-09-01,8,45,,0
1997-09-01,8,46,,0
1997-09-01,8,47,,0
1997-09-01,8,48,,0
1997-09-01,8,49,,0
1997-09-01,8,50,2.7671838,313
1997-09-01,8,51,0.65502167,558
1997-09-01,8,52,0.34364206,270
1997-09-01,8,53,0.26934078,348
1997-09-01,8,54,0.23033696,572
1997-09-01,8,55,0.2531389,532
1997-09-01,8,56,0.32433152,546
1997-09-01,8,57,0.39482632,576
1997-09-01,8,58,0.41097653,576
1997-09-01,8,59,0.2251478,576
1997-09-01,8,60,0.12874594,281
1997-09-01,9,45,,0
1997-09-01,9,46,,0
1997-09-01,9,47,,0
1997-09-01,9,48,,0
1997-09-01,9,49,,0
1997-09-01,9,50,5.1444144,29
1997-09-01,9,51,1.3115227,513
1997-09-01,9,52,0.40272436,529
1997-09-01,9,53,0.28968984,394
1997-09-01,9,54,0.21854596,574
1997-09-01,9,55,0.3249826,567
1997-09-01,9,56,0.39196113,554
1997-09-01,9,57,0.4223337,576
1997-09-01,9,58,0.3998251,576
1997-09-01,9,59,0.21166056,576
1997-09-01,9,60,0.16098061,286
1997-09-01,10,45,0.8954053,1
1997-09-01,10,46,,0
1997-09-01,10,47,,0
1997-09-01,10,48,,0
1997-09-01,10,49,,0
1997-09-01,10,50,,0
1997-09-01,10,51,2.8671837,345
1997-09-01,10,52,0.69892067,576
1997-09-01,10,53,0.41266924,572
1997-09-01,10,54,0.4125215,568
1997-09-01,10,55,0.4536502,575
1997-09-01,10,56,0.45363656,535
1997-09-01,10,57,0.38506848,569
1997-09-01,10,58,0.24476941,576
1997-09-01,10,59,0.1500528,576
1997-09-01,10,60,0.16352955,287
1997-09-01,11,45,0.47410548,263
1997-09-01,11,46,0.5053788,423
1997-09-01,11,47,0.4007035,319
1997-09-01,11,48,0.4910361,193
1997-09-01,11,49,1.7678428,118
1997-09-01,11,50,4.0871615,10
1997-09-01,11,51,5.226144,219
1997-09-01,11,52,1.5789905,576
1997-09-01,11,53,0.64067787,576
1997-09-01,11,54,0.467198,576
1997-09-01,11,55,0.52072036,567
1997-09-01,11,56,0.5101268,576
1997-09-01,11,57,0.3207204,540
1997-09-01,11,58,0.21520549,527
1997-09-01,11,59,0.16586384,488
1997-09-01,11,60,0.21391818,288
1997-09-01,12,45,0.31322637,288
1997-09-01,12,46,0.24742474,576
1997-09-01,12,47,0.13155076,576
1997-09-01,12,48,0.29596195,576
1997-09-01,12,49,0.37456575,576
1997-09-01,12,50,0.76862085,550
1997-09-01,12,51,1.6375716,406
1997-09-01,12,52,1.385399,569
1997-09-01,12,53,0.78274596,549
1997-09-01,12,54,0.8858276,416
1997-09-01,12,55,0.67520076,560
1997-09-01,12,56,0.384685,576
1997-09-01,12,57,0.28973123,565
1997-09-01,12,58,0.2630333,479
1997-09-01,12,59,0.28667995,496
1997-09-01,12,60,0.3647623,288
1997-09-01,13,45,0.329156,148
1997-09-01,13,46,0.1964717,511
1997-09-01,13,47,0.24065174,564
1997-09-01,13,48,0.32519042,576
1997-09-01,13,49,0.46830976,576
1997-09-01,13,50,1.491208,576
1997-09-01,13,51,2.9372392,576
1997-09-01,13,52,1.8129935,576
1997-09-01,13,53,1.0079939,565
1997-09-01,13,54,0.7746515,495
1997-09-01,13,55,0.6400031,576
1997-09-01,13,56,0.55197304,574
1997-09-01,13,57,0.37706092,355
1997-09-01,13,58,0.31071183,474
1997-09-01,13,59,0.32435393,494
1997-09-01,13,60,0.33718172,288
1997-09-01,14,45,,0
1997-09-01,14,46,,0
1997-09-01,14,47,0.9459052,38
1997-09-01,14,48,0.54269165,267
1997-09-01,14,49,0.3713605,471
1997-09-01,14,50,0.8497756,576
1997-09-01,14,51,1.0945562,576
1997-09-01,14,52,1.59904,509
1997-09-01,14,53,1.2412018,576
1997-09-01,14,54,0.7896407,576
1997-09-01,14,55,0.7202046,576
1997-09-01,14,56,0.7195232,567
1997-09-01,14,57,0.6221248,478
1997-09-01,14,58,0.46647328,451
1997-09-01,14,59,0.40387523,230
1997-09-01,14,60,0.41283295,130
1997-09-01,15,45,,0
1997-09-01,15,46,,0
1997-09-01,15,47,,0
1997-09-01,15,48,,0
1997-09-01,15,49,0.66308635,26
1997-09-01,15,50,0.6587562,200
1997-09-01,15,51,1.2955407,288
1997-09-01,15,52,1.2231677,180
1997-09-01,15,53,1.7954925,261
1997-09-01,15,54,0.9033288,288
1997-09-01,15,55,0.77983904,285
1997-09-01,15,56,0.7583352,278
1997-09-01,15,57,0.95150435,268
1997-09-01,15,58,0.5653929,248
1997-09-01,15,59,0.45310724,96
1997-09-01,15,60,0.43566605,33
1997-10-01,-5,45,0.10987952,65
1997-10-01,-5,46,0.14527094,248
1997-10-01,-5,47,0.13821593,220
1997-10-01,-5,48,0.07816913,192
1997-10-01,-5,49,0.08453212,164
1997-10-01,-5,50,0.09284122,274
1997-10-01,-5,51,0.08283178,280
1997-10-01,-5,52,0.08744587,128
1997-10-01,-5,53,0.10474542,111
1997-10-01,-5,54,0.12506115,242
1997-10-01,-5,55,0.1425793,264
1997-10-01,-5,56,0.13258849,167
1997-10-01,-5,57,0.12265026,211
1997-10-01,-5,58,0.10532916,130
1997-10-01,-5,59,0.09400193,128
1997-10-01,-5,60,0.09466025,90
1997-10-01,-4,45,0.14512143,181
1997-10-01,-4,46,0.13024497,532
1997-10-01,-4,47,0.112409525,517
1997-10-01,-4,48,0.090966545,428
1997-10-01,-4,49,0.090295136,476
1997-10-01,-4,50,0.086703286,553
1997-10-01,-4,51,0.088374086,507
1997-10-01,-4,52,0.09311375,413
1997-10-01,-4,53,0.10547288,244
1997-10-01,-4,54,0.11731424,494
1997-10-01,-4,55,0.12811472,528
1997-10-01,-4,56,0.13595337,231
1997-10-01,-4,57,0.117111444,193
1997-10-01,-4,58,0.10447488,333
1997-10-01,-4,59,0.098686226,428
1997-10-01,-4,60,0.096921094,173
1997-10-01,-3,45,0.15643074,213
1997-10-01,-3,46,0.1430107,547
1997-10-01,-3,47,0.12345472,420
1997-10-01,-3,48,0.113320775,564
1997-10-01,-3,49,0.113139674,539
1997-10-01,-3,50,0.09428544,499
1997-10-01,-3,51,0.090349734,520
1997-10-01,-3,52,0.09704005,518
1997-10-01,-3,53,0.1096357,480
1997-10-01,-3,54,0.11382325,394
1997-10-01,-3,55,0.11698484,348
1997-10-01,-3,56,0.115353405,242
1997-10-01,-3,57,0.10845409,244
1997-10-01,-3,58,0.10525375,340
1997-10-01,-3,59,0.10416679,402
1997-10-01,-3,60,0.10443265,257
1997-10-01,-2,45,0.17742002,259
1997-10-01,-2,46,0.1770639,563
1997-10-01,-2,47,0.16682383,498
1997-10-01,-2,48,0.12747088,530
1997-10-01,-2,49,0.115121275,535
1997-10-01,-2,50,0.12051113,561
1997-10-01,-2,51,0.11908853,576
1997-10-01,-2,52,0.11371344,562
1997-10-01,-2,53,0.12435191,560
1997-10-01,-2,54,0.13378127,415
1997-10-01,-2,55,0.12697762,413
1997-10-01,-2,56,0.12169283,286
1997-10-01,-2,57,0.11914621,390
1997-10-01,-2,58,0.111949615,340
1997-10-01,-2,59,0.1161813,513
1997-10-01,-2,60,0.12536441,266
1997-10-01,-1,45,0.14436917,287
1997-10-01,-1,46,0.17232765,553
1997-10-01,-1,47,0.122299515,546
1997-10-01,-1,48,0.11780191,575
1997-10-01,-1,49,0.12528129,576
1997-10-01,-1,50,0.12161102,575
1997-10-01,-1,51,0.11621828,571
1997-10-01,-1,52,0.13707435,562
1997-10-01,-1,53,0.1367036,491
1997-10-01,-1,54,0.13025874,499
1997-10-01,-1,55,0.13228485,405
1997-10-01,-1,56,0.12175467,411
1997-10-01,-1,57,0.110173754,350
1997-10-01,-1,58,0.10513669,257
1997-10-01,-1,59,0.10768839,357
1997-10-01,-1,60,0.10967895,226
1997-10-01,0,45,0.15763228,285
1997-10-01,0,46,0.14488338,554
1997-10-01,0,47,0.115784094,570
1997-10-01,0,48,0.120294355,574
1997-10-01,0,49,0.12539364,576
1997-10-01,0,50,0.118508555,566
1997-10-01,0,51,0.113060385,576
1997-10-01,0,52,0.124321744,561
1997-10-01,0,53,0.124920554,518
1997-10-01,0,54,0.12902206,530
1997-10-01,0,55,0.13131061,457
1997-10-01,0,56,0.11585279,302
1997-10-01,0,57,0.11077521,244
1997-10-01,0,58,0.11578623,323
1997-10-01,0,59,0.11004562,434
