index,countryCode,country,Total Occurrences,Unique Sharks (with ID),Top 3 Publishing Countries,Avg Per Year (all),Avg Per Year (after 2020),Avg Per Year (2010 - 2020),Avg Per Year (2000 - 2010),Avg Per Year (before 2000),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,HUMAN_OBSERVATION,MACHINE_OBSERVATION,Oldest Occurrence,Newest Occurrence,occurrences (year)
1,AU,Australia,1405,269,Australia > United States > United Kingdom,43.68,28.2,95.73,5.22,1.5,46,31,91,98,107,131,167,38,118,120,102,32,332,1046,1964-04,2025-08-24,"2 (1964), 2 (1965), 1 (1993), 1 (1996), 1 (2000), 1 (2001), 1 (2002), 1 (2003), 2 (2005), 1 (2006), 10 (2008), 6 (2009), 24 (2010), 170 (2011), 44 (2012), 226 (2013), 2 (2014), 99 (2015), 153 (2016), 242 (2017), 43 (2018), 32 (2019), 18 (2020), 43 (2021), 37 (2022), 17 (2023), 29 (2024), 15 (2025)"
7,BS,Bahamas,8,0,United States,4.0,,4.0,7.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,8,2010-10-25,2011-01-28,"7 (2010), 1 (2011)"
2,BH,Bahrain,1,1,United States,1.0,,1.0,,,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2020-10-23,2020-10-23,1 (2020)
8,BZ,Belize,15,2,United States > France,3.75,,4.67,1.0,,0,0,0,0,3,4,0,0,0,0,0,0,3,12,2006-05-18,2018-05-07,"1 (2006), 12 (2011), 1 (2013), 1 (2018)"
3,BJ,Benin,5,0,Benin,1.0,,,1.0,,0,0,0,0,1,1,2,1,0,0,0,0,5,0,2000-07-09,2009-05-24,"1 (2000), 1 (2002), 1 (2005), 1 (2007), 1 (2009)"
4,BM,Bermuda,1,1,United States,1.0,1.0,,,,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2022-05-03,2022-05-03,1 (2022)
5,BQ,"Bonaire, Saint Eustatius and Saba",2,0,Germany > Netherlands,1.0,1.0,,1.0,,1,0,0,0,0,0,0,1,0,0,0,0,2,0,2002-01-22,2021-08-19,"1 (2002), 1 (2021)"
6,BR,Brazil,12,2,Sweden > Australia > France,1.0,1.0,1.0,1.0,1.0,0,0,4,2,0,2,0,1,0,0,2,1,8,0,1984-03-24,2025-03-04,"1 (1984), 1 (1985), 1 (1992), 1 (1993), 1 (2002), 1 (2009), 1 (2010), 1 (2011), 1 (2013), 1 (2021), 1 (2022), 1 (2025)"
11,CM,Cameroon,3,3,United States,1.5,1.0,2.0,,,0,0,0,1,0,0,0,0,0,2,0,0,3,0,2020-10-23,2021-04-23,"2 (2020), 1 (2021)"
9,CA,Canada,2,1,United States,1.0,,1.0,1.0,,0,0,0,0,0,0,1,0,0,0,0,1,1,1,2010-12-15,2011-07-16,"1 (2010), 1 (2011)"
12,CN,China,3,1,United States > Sweden,1.5,1.0,,,2.0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,1983-07-20,2025-08-04,"2 (1983), 1 (2025)"
16,CX,Christmas Island,26,14,United States > Australia > Taiwan,3.71,1.0,5.0,2.0,6.0,2,0,6,0,0,0,3,8,0,0,0,6,14,12,1995-03-21,2022-12-24,"6 (1995), 3 (2007), 1 (2008), 5 (2015), 8 (2018), 2 (2019), 1 (2022)"
10,CC,Cocos (Keeling) Islands,7,0,United States,7.0,,7.0,,,0,0,0,0,0,0,0,0,3,4,0,0,0,7,2018-09-05,2018-10-10,7 (2018)
13,CO,Colombia,107,6,Ecuador > Colombia > United States,8.92,1.75,12.5,1.0,,36,0,1,2,3,3,7,2,2,24,10,15,21,86,2010-07-09,2025-04-16,"1 (2010), 1 (2011), 2 (2012), 35 (2015), 15 (2016), 35 (2017), 6 (2018), 5 (2019), 1 (2021), 3 (2022), 2 (2024), 1 (2025)"
14,CR,Costa Rica,165,9,Ecuador > Costa Rica > France,16.5,1.33,23.0,1.0,,0,3,3,0,0,2,1,1,26,4,48,77,12,153,2010-09-22,2024-02-10,"1 (2010), 5 (2012), 1 (2013), 5 (2015), 146 (2016), 1 (2018), 2 (2019), 2 (2021), 1 (2022), 1 (2024)"
15,CU,Cuba,20,6,United States > Mexico,5.0,1.0,9.0,17.0,,0,1,0,0,0,1,0,1,1,6,3,0,3,17,2010-09-27,2024-06-02,"17 (2010), 1 (2019), 1 (2021), 1 (2024)"
17,DJ,Djibouti,31,2,United States,15.5,,,15.5,,29,0,0,0,0,0,0,0,0,0,0,2,2,29,2007-12-11,2009-01,"2 (2007), 29 (2009)"
18,EC,Ecuador,1043,80,Ecuador > United States > Australia,52.15,3.2,101.7,1.83,,14,0,3,4,4,11,61,51,400,307,186,2,64,979,2001-10-28,2025-05-26,"1 (2001), 4 (2002), 2 (2004), 2 (2005), 1 (2009), 1 (2010), 6 (2011), 20 (2012), 42 (2013), 44 (2014), 373 (2015), 511 (2016), 5 (2017), 13 (2018), 2 (2019), 3 (2021), 4 (2022), 6 (2023), 1 (2024), 2 (2025)"
19,EG,Egypt,13,7,France > United States > United Kingdom,1.44,1.67,1.5,1.25,,0,0,2,0,0,0,3,1,0,0,6,1,13,0,2004-11-15,2023-11-14,"2 (2004), 1 (2006), 1 (2007), 1 (2008), 1 (2012), 2 (2016), 2 (2021), 1 (2022), 2 (2023)"
24,GQ,Equatorial Guinea,2,0,France,2.0,,,2.0,,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2009-08-01,2009-08-01,2 (2009)
21,FJ,Fiji,1,1,United States,1.0,,,1.0,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2003-09-16,2003-09-16,1 (2003)
22,FR,France,1,0,United States,1.0,,,,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1975-01-29,1975-01-29,1 (1975)
23,GF,French Guiana,4,0,United States > France,2.0,,3.0,1.0,,0,0,0,0,0,0,0,0,0,3,0,0,4,0,2008,2017-10-07,"1 (2008), 3 (2017)"
49,PF,French Polynesia,18,1,United States > France,7.5,,14.0,1.0,,2,3,5,4,0,0,0,0,0,1,0,0,18,0,2000-01-01,2011-04-27,"1 (2009), 14 (2011)"
60,TF,French Southern Territories,3,0,United States > France,1.5,,2.0,1.5,,1,1,0,1,0,0,0,0,0,0,0,0,3,0,2007-04-21,2010-02-07,"1 (2007), 2 (2010)"
26,GU,Guam,1,1,United States,1.0,,1.0,,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2020-03-01,2020-03-01,1 (2020)
25,GT,Guatemala,5,0,United States > Guatemala,2.5,1.0,4.0,,,0,1,0,0,0,0,0,0,0,0,0,0,1,4,2011-04-25,2021-02-19,"4 (2011), 1 (2021)"
27,HN,Honduras,40,23,United States > Mexico > France,3.25,2.0,3.89,1.67,,2,0,2,9,1,10,2,2,1,0,2,1,23,17,2006-11-14,2024-12-28,"1 (2006), 1 (2007), 3 (2010), 17 (2011), 2 (2012), 3 (2014), 3 (2016), 3 (2017), 1 (2018), 2 (2019), 1 (2020), 2 (2024)"
30,IN,India,8,6,United States > India > Spain,1.6,1.0,2.0,1.0,,0,2,3,1,0,0,0,1,0,0,0,1,6,0,2009-02-22,2024-04-20,"1 (2009), 1 (2015), 1 (2019), 4 (2020), 1 (2024)"
28,ID,Indonesia,151,75,United States > Australia > France,9.27,8.0,12.12,1.0,1.0,7,10,2,7,5,14,20,18,15,20,7,4,106,44,1999,2025-07-31,"1 (1999), 1 (2005), 13 (2012), 2 (2014), 8 (2015), 19 (2016), 11 (2017), 37 (2018), 3 (2019), 4 (2020), 1 (2021), 3 (2022), 16 (2023), 16 (2024), 4 (2025)"
29,IL,Israel,9,0,Israel,1.8,1.33,2.5,,,0,0,1,1,2,0,1,1,0,2,0,1,9,0,2019-04-26,2024-03-21,"2 (2019), 3 (2020), 1 (2022), 2 (2023), 1 (2024)"
31,JP,Japan,29,0,United Kingdom > Japan,2.23,,3.0,1.8,1.33,0,0,1,2,8,2,5,2,3,1,2,3,4,0,1993-05-05,2017-10-06,"2 (1993), 1 (1995), 1 (1999), 3 (2001), 1 (2004), 2 (2005), 1 (2006), 2 (2010), 4 (2011), 2 (2012), 3 (2013), 5 (2015), 2 (2017)"
32,KE,Kenya,4,4,United States,1.0,1.0,,1.0,,0,1,0,1,0,0,0,0,0,0,1,1,4,0,2009-11-27,2024-02-20,"1 (2009), 1 (2022), 1 (2023), 1 (2024)"
35,MG,Madagascar,38,18,United States > Israel > Canada,3.45,3.0,3.33,9.0,,7,5,0,0,0,1,0,0,1,9,6,9,38,0,2009-12-24,2024-10-12,"6 (2009), 12 (2010), 1 (2014), 1 (2016), 1 (2017), 1 (2018), 4 (2019), 2 (2021), 2 (2022), 5 (2023), 3 (2024)"
40,MY,Malaysia,18,12,United States > France > Germany,1.5,1.33,1.83,1.0,1.0,0,1,3,0,2,3,3,1,0,3,0,0,16,0,1931,2024-10-20,"1 (1931), 1 (1940), 1 (2007), 2 (2013), 2 (2015), 1 (2016), 2 (2017), 1 (2019), 3 (2020), 1 (2022), 2 (2023), 1 (2024)"
38,MV,Maldives,101,76,United States > France > United Kingdom,5.94,11.2,4.2,2.33,,3,15,11,17,3,2,4,4,8,7,15,9,98,0,2007-04-04,2025-08-25,"1 (2007), 2 (2008), 4 (2010), 1 (2011), 7 (2013), 2 (2014), 7 (2015), 2 (2016), 4 (2017), 2 (2018), 8 (2019), 5 (2020), 5 (2021), 15 (2022), 11 (2023), 13 (2024), 12 (2025)"
37,MQ,Martinique,1,0,France,1.0,,,1.0,,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2007-05-19,2007-05-19,1 (2007)
71,YT,Mayotte,2,1,France > United States,1.0,,1.0,1.0,,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2010,2015-09-03,"1 (2010), 1 (2015)"
39,MX,Mexico,710,529,United States > Mexico > Netherlands,21.11,37.8,34.0,9.29,1.17,42,24,42,27,13,43,99,114,44,36,45,41,527,175,1858,2025-08-28,"1 (1858), 1 (1931), 1 (1936), 1 (1937), 2 (1953), 1 (1989), 1 (2000), 3 (2005), 2 (2006), 2 (2007), 4 (2008), 9 (2009), 44 (2010), 11 (2011), 18 (2012), 34 (2013), 13 (2014), 24 (2015), 39 (2016), 60 (2017), 48 (2018), 58 (2019), 25 (2020), 24 (2021), 41 (2022), 55 (2023), 46 (2024), 23 (2025)"
41,MZ,Mozambique,42,21,United Kingdom > United States > Spain,3.23,1.33,3.75,7.67,,2,1,1,0,0,3,9,3,2,3,2,0,25,0,2007-03-11,2025-02-28,"1 (2007), 7 (2009), 15 (2010), 1 (2013), 6 (2015), 2 (2016), 1 (2017), 1 (2018), 1 (2019), 3 (2020), 1 (2023), 2 (2024), 1 (2025)"
36,MM,Myanmar,3,3,United States,1.0,1.0,1.0,1.0,,1,0,1,0,0,0,0,0,0,0,1,0,3,0,2010-01-28,2023-11-18,"1 (2010), 1 (2020), 1 (2023)"
44,NR,Nauru,1,0,France,1.0,,,,1.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1989-11-29,1989-11-29,1 (1989)
42,NC,New Caledonia,24,3,United States,8.0,2.0,11.0,,,0,0,0,1,0,2,0,0,0,11,9,1,24,0,2014-10-16,2023-06-25,"21 (2014), 1 (2016), 2 (2023)"
45,NZ,New Zealand,14,14,United States > New Zealand,2.0,2.4,1.0,1.0,,5,6,1,1,1,0,0,0,0,0,0,0,14,0,2007-02-11,2025-03-16,"1 (2007), 1 (2013), 2 (2021), 1 (2022), 1 (2023), 6 (2024), 2 (2025)"
43,NI,Nicaragua,3,1,United States,3.0,,3.0,,,3,0,0,0,0,0,0,0,0,0,0,0,0,3,2011-01-15,2011-01-19,3 (2011)
46,OM,Oman,10,7,United States > Netherlands > United Kingdom,1.67,2.0,1.33,,,0,0,1,0,2,1,0,0,2,2,0,2,10,0,2012-10-12,2025-06-03,"1 (2012), 1 (2017), 2 (2020), 3 (2021), 1 (2022), 2 (2025)"
51,PK,Pakistan,3,0,United Kingdom > Unknown,3.0,,3.0,,,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2013-02-01,2013-02-03,3 (2013)
47,PA,Panama,13,12,United States > Panama > Canada,1.44,1.5,1.5,1.0,,4,2,2,2,0,0,0,1,1,0,1,0,12,1,2009-08-20,2025-04-21,"1 (2009), 1 (2017), 1 (2018), 1 (2019), 3 (2020), 1 (2022), 1 (2023), 1 (2024), 3 (2025)"
48,PE,Peru,369,3,Ecuador > United Kingdom,73.8,,73.8,,,155,76,15,0,0,0,0,0,0,0,1,121,0,368,2011-12-08,2017,"3 (2011), 3 (2014), 116 (2015), 246 (2016), 1 (2017)"
50,PH,Philippines,206,144,United States > France > Philippines,6.44,16.5,11.2,1.33,1.62,19,22,19,21,21,14,31,8,8,5,11,5,180,0,1840,2025-07-06,"1 (1840), 1 (1910), 1 (1914), 1 (1916), 2 (1925), 2 (1929), 1 (1930), 2 (1931), 2 (1932), 1 (1933), 1 (1934), 1 (1978), 3 (1983), 2 (1984), 1 (1985), 4 (1997), 1 (2008), 1 (2009), 2 (2010), 8 (2012), 13 (2013), 9 (2014), 11 (2015), 29 (2016), 16 (2017), 7 (2018), 16 (2019), 1 (2020), 7 (2022), 15 (2023), 32 (2024), 12 (2025)"
52,PT,Portugal,13,7,Portugal > United States > Netherlands,1.86,1.33,1.67,4.0,,0,0,0,0,0,0,3,5,2,3,0,0,13,0,2008-07-13,2024-08-14,"4 (2008), 1 (2011), 1 (2017), 3 (2020), 1 (2022), 1 (2023), 2 (2024)"
53,QA,Qatar,63,2,United Kingdom > United States,12.6,2.0,15.25,,,0,0,0,1,10,14,23,12,3,0,0,0,2,0,2011-07-09,2024-05-07,"11 (2011), 15 (2012), 14 (2013), 21 (2014), 2 (2024)"
