time,latitude,longitude,mean_CHL,count_entries_CHL
1997-09-01,20,-25,0.099067114,102
1997-09-01,20,-24,0.096339464,245
1997-09-01,20,-23,0.13133135,285
1997-09-01,20,-22,0.431428,279
1997-09-01,20,-21,0.35882854,73
1997-09-01,20,-20,0.6555206,184
1997-09-01,20,-19,1.3768076,241
1997-09-01,20,-18,7.2405143,288
1997-09-01,20,-17,6.718981,288
1997-09-01,20,-16,1.9346217,63
1997-09-01,20,-15,,0
1997-09-01,20,-14,,0
1997-09-01,20,-13,,0
1997-09-01,20,-12,,0
1997-09-01,20,-11,,0
1997-09-01,20,-10,,0
1997-09-01,21,-25,0.0923378,278
1997-09-01,21,-24,0.09077043,517
1997-09-01,21,-23,0.13200966,569
1997-09-01,21,-22,0.3213264,549
1997-09-01,21,-21,0.3265253,535
1997-09-01,21,-20,0.84431696,575
1997-09-01,21,-19,2.132027,575
1997-09-01,21,-18,4.761011,576
1997-09-01,21,-17,6.599664,375
1997-09-01,21,-16,1.2608271,7
1997-09-01,21,-15,,0
1997-09-01,21,-14,,0
1997-09-01,21,-13,,0
1997-09-01,21,-12,,0
1997-09-01,21,-11,,0
1997-09-01,21,-10,,0
1997-09-01,22,-25,0.08551415,282
1997-09-01,22,-24,0.09035053,423
1997-09-01,22,-23,0.17447332,418
1997-09-01,22,-22,0.23711306,559
1997-09-01,22,-21,0.13977025,561
1997-09-01,22,-20,0.25702143,552
1997-09-01,22,-19,0.94919395,576
1997-09-01,22,-18,2.2747278,576
1997-09-01,22,-17,6.6112313,396
1997-09-01,22,-16,2.317814,3
1997-09-01,22,-15,,0
1997-09-01,22,-14,,0
1997-09-01,22,-13,,0
1997-09-01,22,-12,,0
1997-09-01,22,-11,,0
1997-09-01,22,-10,,0
1997-09-01,23,-25,0.08378605,102
1997-09-01,23,-24,0.08998459,360
1997-09-01,23,-23,0.18028218,458
1997-09-01,23,-22,0.22552331,557
1997-09-01,23,-21,0.2099403,530
1997-09-01,23,-20,0.17105767,576
1997-09-01,23,-19,0.18646948,575
1997-09-01,23,-18,0.606057,576
1997-09-01,23,-17,1.6063759,576
1997-09-01,23,-16,2.907661,173
1997-09-01,23,-15,,0
1997-09-01,23,-14,,0
1997-09-01,23,-13,,0
1997-09-01,23,-12,,0
1997-09-01,23,-11,,0
1997-09-01,23,-10,,0
1997-09-01,24,-25,0.069408454,156
1997-09-01,24,-24,0.076514214,393
1997-09-01,24,-23,0.14365984,454
1997-09-01,24,-22,0.17464428,468
1997-09-01,24,-21,0.12872255,569
1997-09-01,24,-20,0.09531171,554
1997-09-01,24,-19,0.10480893,576
1997-09-01,24,-18,0.2513262,576
1997-09-01,24,-17,0.4857575,576
1997-09-01,24,-16,1.4065195,481
1997-09-01,24,-15,1.9261712,36
1997-09-01,24,-14,,0
1997-09-01,24,-13,,0
1997-09-01,24,-12,,0
1997-09-01,24,-11,,0
1997-09-01,24,-10,,0
1997-09-01,25,-25,0.06083185,220
1997-09-01,25,-24,0.060918923,489
1997-09-01,25,-23,0.06312883,520
1997-09-01,25,-22,0.08844601,553
1997-09-01,25,-21,0.088706,576
1997-09-01,25,-20,0.09431678,576
1997-09-01,25,-19,0.10328038,576
1997-09-01,25,-18,0.10626231,576
1997-09-01,25,-17,0.19042303,576
1997-09-01,25,-16,0.32961425,573
1997-09-01,25,-15,0.6246528,367
1997-09-01,25,-14,,0
1997-09-01,25,-13,,0
1997-09-01,25,-12,,0
1997-09-01,25,-11,,0
1997-09-01,25,-10,,0
