time,latitude,longitude,mean_CHL,count_entries_CHL
1997-09-01,5,105,,0
1997-09-01,5,106,,0
1997-09-01,5,107,,0
1997-09-01,5,108,,0
1997-09-01,5,109,,0
1997-09-01,5,110,,0
1997-09-01,5,111,,0
1997-09-01,5,112,,0
1997-09-01,5,113,,0
1997-09-01,5,114,0.34686688,55
1997-09-01,5,115,1.0069249,247
1997-09-01,5,116,2.7616057,4
1997-09-01,5,117,,0
1997-09-01,5,118,,0
1997-09-01,5,119,,0
1997-09-01,5,120,,0
1997-09-01,6,105,,0
1997-09-01,6,106,,0
1997-09-01,6,107,,0
1997-09-01,6,108,,0
1997-09-01,6,109,,0
1997-09-01,6,110,,0
1997-09-01,6,111,,0
1997-09-01,6,112,,0
1997-09-01,6,113,,0
1997-09-01,6,114,0.17588666,180
1997-09-01,6,115,0.34548008,292
1997-09-01,6,116,0.33806828,296
1997-09-01,6,117,,0
1997-09-01,6,118,,0
1997-09-01,6,119,,0
1997-09-01,6,120,0.15013745,10
1997-09-01,7,105,,0
1997-09-01,7,106,,0
1997-09-01,7,107,,0
1997-09-01,7,108,,0
1997-09-01,7,109,,0
1997-09-01,7,110,,0
1997-09-01,7,111,,0
1997-09-01,7,112,,0
1997-09-01,7,113,,0
1997-09-01,7,114,,0
1997-09-01,7,115,0.19873601,69
1997-09-01,7,116,0.26733783,96
1997-09-01,7,117,0.28848287,29
1997-09-01,7,118,,0
1997-09-01,7,119,,0
1997-09-01,7,120,,0
1997-09-01,8,105,0.9974599,7
1997-09-01,8,106,0.41961426,81
1997-09-01,8,107,0.29895058,51
1997-09-01,8,108,0.17515683,107
1997-09-01,8,109,0.11994572,8
1997-09-01,8,110,,0
1997-09-01,8,111,,0
1997-09-01,8,112,,0
1997-09-01,8,113,,0
1997-09-01,8,114,,0
1997-09-01,8,115,,0
1997-09-01,8,116,,0
1997-09-01,8,117,,0
1997-09-01,8,118,,0
1997-09-01,8,119,0.12929061,2
1997-09-01,8,120,0.12145247,133
1997-09-01,9,105,1.5172771,72
1997-09-01,9,106,1.9654527,383
1997-09-01,9,107,0.7456097,352
1997-09-01,9,108,0.24925604,138
1997-09-01,9,109,0.22892915,181
1997-09-01,9,110,0.19259462,46
1997-09-01,9,111,,0
1997-09-01,9,112,,0
1997-09-01,9,113,,0
1997-09-01,9,114,0.14953856,24
1997-09-01,9,115,0.15943892,30
1997-09-01,9,116,,0
1997-09-01,9,117,,0
1997-09-01,9,118,,0
1997-09-01,9,119,0.121550344,1
1997-09-01,9,120,0.12556782,86
1997-09-01,10,105,,0
1997-09-01,10,106,3.6005943,6
1997-09-01,10,107,1.7623253,419
1997-09-01,10,108,0.504079,489
1997-09-01,10,109,0.29512128,355
1997-09-01,10,110,0.15503855,353
1997-09-01,10,111,0.12852174,13
1997-09-01,10,112,0.18629466,13
1997-09-01,10,113,,0
1997-09-01,10,114,0.1529223,43
1997-09-01,10,115,0.16772601,19
