time,latitude,longitude,mean_analysed_sst
2016-01-01,-59.98,-179.98,3.63
2016-01-01,-59.98,-178.98,3.6
2016-01-01,-59.98,-177.98,3.39
2016-01-01,-59.98,-176.98,3.46
2016-01-01,-59.98,-175.98,3.71
2016-01-01,-59.98,-174.98,3.73
2016-01-01,-59.98,-173.98,3.99
2016-01-01,-59.98,-172.98,3.91
2016-01-01,-59.98,-171.98,3.51
2016-01-01,-59.98,-170.98,3.71
2016-01-01,-59.98,-169.98,3.89
2016-01-01,-59.98,-168.98,3.83
2016-01-01,-59.98,-167.98,4.09
2016-01-01,-59.98,-166.98,3.95
2016-01-01,-59.98,-165.98,3.99
2016-01-01,-59.98,-164.98,3.8
2016-01-01,-59.98,-163.98,3.56
2016-01-01,-59.98,-162.98,2.97
2016-01-01,-59.98,-161.98,2.46
2016-01-01,-59.98,-160.98,2.69
2016-01-01,-59.98,-159.98,2.87
2016-01-01,-59.98,-158.98,2.63
2016-01-01,-59.98,-157.98,2.18
2016-01-01,-59.98,-156.98,1.67
2016-01-01,-59.98,-155.98,1.56
2016-01-01,-59.98,-154.98,1.45
2016-01-01,-59.98,-153.98,1.25
2016-01-01,-59.98,-152.98,1.22
2016-01-01,-59.98,-151.98,1.09
2016-01-01,-59.98,-150.98,0.89
2016-01-01,-59.98,-149.98,1.12
2016-01-01,-59.98,-148.98,1.61
2016-01-01,-59.98,-147.98,1.53
2016-01-01,-59.98,-146.98,1.96
2016-01-01,-59.98,-145.98,1.85
2016-01-01,-59.98,-144.98,1.98
2016-01-01,-59.98,-143.98,2.13
2016-01-01,-59.98,-142.98,2.12
2016-01-01,-59.98,-141.98,2.32
2016-01-01,-59.98,-140.98,2.7
2016-01-01,-59.98,-139.98,2.92
2016-01-01,-59.98,-138.98,2.87
2016-01-01,-59.98,-137.98,2.77
2016-01-01,-59.98,-136.98,3.05
2016-01-01,-59.98,-135.98,2.98
2016-01-01,-59.98,-134.98,2.74
2016-01-01,-59.98,-133.98,2.83
2016-01-01,-59.98,-132.98,3.07
2016-01-01,-59.98,-131.98,3.08
2016-01-01,-59.98,-130.98,3.26
2016-01-01,-59.98,-129.98,4.04
2016-01-01,-59.98,-128.98,4.7
2016-01-01,-59.98,-127.98,4.75
2016-01-01,-59.98,-126.98,4.15
2016-01-01,-59.98,-125.98,3.99
2016-01-01,-59.98,-124.98,4.56
2016-01-01,-59.98,-123.98,4.6
2016-01-01,-59.98,-122.98,3.96
2016-01-01,-59.98,-121.98,4.34
2016-01-01,-59.98,-120.98,4.85
2016-01-01,-59.98,-119.98,4.64
2016-01-01,-59.98,-118.98,4.72
2016-01-01,-59.98,-117.98,5.09
2016-01-01,-59.98,-116.98,5.07
2016-01-01,-59.98,-115.98,4.66
2016-01-01,-59.98,-114.98,4.01
2016-01-01,-59.98,-113.98,4.3
2016-01-01,-59.98,-112.98,4.62
2016-01-01,-59.98,-111.98,4.75
2016-01-01,-59.98,-110.98,4.64
2016-01-01,-59.98,-109.98,4.29
2016-01-01,-59.98,-108.98,4.56
2016-01-01,-59.98,-107.98,4.39
2016-01-01,-59.98,-106.98,4.4
2016-01-01,-59.98,-105.98,4.32
2016-01-01,-59.98,-104.98,4.32
2016-01-01,-59.98,-103.98,4.45
2016-01-01,-59.98,-102.98,4.77
2016-01-01,-59.98,-101.98,5.24
2016-01-01,-59.98,-100.98,5.2
2016-01-01,-59.98,-99.98,5.08
2016-01-01,-59.98,-98.98,5.31
2016-01-01,-59.98,-97.98,5.16
2016-01-01,-59.98,-96.98,4.81
2016-01-01,-59.98,-95.98,4.12
2016-01-01,-59.98,-94.98,3.75
2016-01-01,-59.98,-93.98,3.81
2016-01-01,-59.98,-92.98,4.56
2016-01-01,-59.98,-91.98,4.39
2016-01-01,-59.98,-90.98,4.36
2016-01-01,-59.98,-89.98,4.32
2016-01-01,-59.98,-88.98,4.28
2016-01-01,-59.98,-87.98,4.57
2016-01-01,-59.98,-86.98,4.52
2016-01-01,-59.98,-85.98,4.52
2016-01-01,-59.98,-84.98,4.51
2016-01-01,-59.98,-83.98,4.57
2016-01-01,-59.98,-82.98,4.55
2016-01-01,-59.98,-81.98,4.57
2016-01-01,-59.98,-80.97,4.57
2016-01-01,-59.98,-79.97,4.98
2016-01-01,-59.98,-78.97,4.78
2016-01-01,-59.98,-77.97,4.43
2016-01-01,-59.98,-76.97,3.65
2016-01-01,-59.98,-75.97,3.7
2016-01-01,-59.98,-74.97,4.06
2016-01-01,-59.98,-73.97,3.57
2016-01-01,-59.98,-72.97,2.75
2016-01-01,-59.98,-71.97,3.08
2016-01-01,-59.98,-70.97,3.2
2016-01-01,-59.98,-69.97,2.59
2016-01-01,-59.98,-68.97,2.6
2016-01-01,-59.98,-67.97,2.82
2016-01-01,-59.98,-66.97,1.6
2016-01-01,-59.98,-65.97,1.31
2016-01-01,-59.98,-64.97,1.19
2016-01-01,-59.98,-63.98,1.22
2016-01-01,-59.98,-62.98,1.18
2016-01-01,-59.98,-61.98,1.16
2016-01-01,-59.98,-60.98,1.25
2016-01-01,-59.98,-59.98,1.11
2016-01-01,-59.98,-58.98,1.18
2016-01-01,-59.98,-57.98,0.97
2016-01-01,-59.98,-56.98,1.17
2016-01-01,-59.98,-55.98,1.18
2016-01-01,-59.98,-54.98,0.95
2016-01-01,-59.98,-53.98,0.83
2016-01-01,-59.98,-52.98,0.9
2016-01-01,-59.98,-51.98,0.86
2016-01-01,-59.98,-50.98,0.76
2016-01-01,-59.98,-49.98,1.16
2016-01-01,-59.98,-48.98,0.72
2016-01-01,-59.98,-47.98,0.55
2016-01-01,-59.98,-46.98,0.59
2016-01-01,-59.98,-45.98,0.74
2016-01-01,-59.98,-44.98,0.68
2016-01-01,-59.98,-43.98,0.74
2016-01-01,-59.98,-42.98,0.74
2016-01-01,-59.98,-41.98,0.88
2016-01-01,-59.98,-40.98,0.5
2016-01-01,-59.98,-39.98,0.13
2016-01-01,-59.98,-38.98,0.18
2016-01-01,-59.98,-37.98,0.42
2016-01-01,-59.98,-36.98,0.57
2016-01-01,-59.98,-35.98,0.26
2016-01-01,-59.98,-34.98,-0.01
2016-01-01,-59.98,-33.98,0.22
2016-01-01,-59.98,-32.98,0.12
2016-01-01,-59.98,-31.98,0.04
2016-01-01,-59.98,-30.98,-0.21
2016-01-01,-59.98,-29.98,-0.38
2016-01-01,-59.98,-28.98,-0.65
2016-01-01,-59.98,-27.98,-0.81
2016-01-01,-59.98,-26.98,-0.74
2016-01-01,-59.98,-25.98,-0.61
2016-01-01,-59.98,-24.98,0.07
2016-01-01,-59.98,-23.98,0.57
2016-01-01,-59.98,-22.98,0.26
2016-01-01,-59.98,-21.98,0.17
2016-01-01,-59.98,-20.98,0.07
2016-01-01,-59.98,-19.98,-0.14
2016-01-01,-59.98,-18.98,-0.14
2016-01-01,-59.98,-17.98,-0.39
2016-01-01,-59.98,-16.98,-0.38
2016-01-01,-59.98,-15.98,-0.51
2016-01-01,-59.98,-14.98,-0.67
2016-01-01,-59.98,-13.98,-0.76
2016-01-01,-59.98,-12.98,-0.65
2016-01-01,-59.98,-11.98,-0.46
2016-01-01,-59.98,-10.98,-0.47
2016-01-01,-59.98,-9.98,-0.47
2016-01-01,-59.98,-8.98,-0.41
2016-01-01,-59.98,-7.98,-0.51
2016-01-01,-59.98,-6.98,-0.5
2016-01-01,-59.98,-5.98,-0.47
2016-01-01,-59.98,-4.97,-0.25
2016-01-01,-59.98,-3.98,-0.18
2016-01-01,-59.98,-2.98,-0.13
2016-01-01,-59.98,-1.98,-0.18
2016-01-01,-59.98,-0.98,-0.18
2016-01-01,-59.98,0.02,-0.26
2016-01-01,-59.98,1.02,-0.17
2016-01-01,-59.98,2.02,-0.17
2016-01-01,-59.98,3.02,-0.12
2016-01-01,-59.98,4.03,-0.18
2016-01-01,-59.98,5.03,-0.13
2016-01-01,-59.98,6.02,-0.05
2016-01-01,-59.98,7.02,-0.17
2016-01-01,-59.98,8.02,-0.17
2016-01-01,-59.98,9.02,-0.09
2016-01-01,-59.98,10.02,-0.07
2016-01-01,-59.98,11.02,-0.07
2016-01-01,-59.98,12.02,0.03
2016-01-01,-59.98,13.02,0.16
2016-01-01,-59.98,14.02,0.03
2016-01-01,-59.98,15.02,0.06
2016-01-01,-59.98,16.02,0.02
2016-01-01,-59.98,17.02,0.16
2016-01-01,-59.98,18.02,0.37
2016-01-01,-59.98,19.02,0.27
2016-01-01,-59.98,20.02,0.46
2016-01-01,-59.98,21.02,0.79
2016-01-01,-59.98,22.02,0.82
2016-01-01,-59.98,23.02,0.86
2016-01-01,-59.98,24.02,0.86
2016-01-01,-59.98,25.02,0.83
2016-01-01,-59.98,26.02,0.86
2016-01-01,-59.98,27.02,0.79
2016-01-01,-59.98,28.02,0.78
2016-01-01,-59.98,29.02,1.1
2016-01-01,-59.98,30.02,0.89
